,all_recs,cons_recs
2018-10-06,18920.0,715.0
2018-10-07,18793.0,858.0
2018-10-08,18605.0,832.0
2018-10-09,18761.0,745.0
2018-10-10,19016.0,837.0
2018-10-11,18865.0,775.0
2018-10-12,22177.0,934.0
2018-10-13,19190.0,683.0
2018-10-14,18706.0,802.0
2018-10-15,19179.0,879.0
2018-10-16,19327.0,884.0
2018-10-17,19128.5,886.0
2018-10-18,18930.0,888.0
2018-10-19,18822.0,852.0
2018-10-20,18816.0,852.0
2018-10-21,18695.0,923.0
2018-10-22,18539.0,999.0
2018-10-23,18629.0,890.0
2018-10-24,19136.0,1029.0
2018-10-25,19158.0,962.0
2018-10-26,18505.0,1018.0
2018-10-27,18712.0,1047.0
2018-10-28,18678.0,940.0
2018-10-29,1607.0,922.0
2018-10-30,18783.0,904.0
2018-10-31,18553.0,972.0
2018-11-01,18512.0,915.0
2018-11-02,19132.0,919.0
2018-11-03,19070.0,1044.0
2018-11-04,18628.0,1022.0
2018-11-05,15557.0,947.0
2018-11-06,18575.0,967.0
2018-11-07,18679.0,969.0
2018-11-08,18718.0,985.0
2018-11-09,19033.0,977.0
2018-11-10,18212.0,1035.0
2018-11-11,18991.0,1095.0
2018-11-12,18870.0,1199.0
2018-11-13,19159.0,1047.0
2018-11-14,18882.0,1054.0
2018-11-15,18481.0,1059.0
2018-11-16,18498.0,1061.0
2018-11-17,18448.0,997.0
2018-11-18,18265.0,1077.0
2018-11-19,18829.0,1044.0
2018-11-20,18571.0,1026.0
2018-11-21,18259.0,1045.0
2018-11-22,18338.0,1093.0
2018-11-23,18665.0,1169.0
2018-11-24,18308.0,1199.0
2018-11-25,18178.0,1134.0
2018-11-26,18688.0,1226.0
2018-11-27,18339.0,1223.0
2018-11-28,18878.0,1238.0
2018-11-29,18404.0,1109.0
2018-11-30,18379.0,1122.0
2018-12-01,18352.0,1203.0
2018-12-02,18343.0,1197.0
2018-12-03,18290.0,1188.0
2018-12-04,18178.0,1185.0
2018-12-05,18896.0,1166.0
2018-12-06,18403.0,1216.0
2018-12-07,18371.0,1252.0
2018-12-08,18420.0,1179.0
2018-12-09,18934.0,1188.0
2018-12-10,18659.0,1178.0
2018-12-11,18318.0,1124.0
2018-12-12,18235.0,1187.0
2018-12-13,18348.0,1214.0
2018-12-14,18487.0,1295.0
2018-12-15,18770.0,1268.0
2018-12-16,18788.0,1264.0
2018-12-17,18412.0,1291.0
2018-12-18,18004.0,1574.0
2018-12-19,18103.0,1559.0
2018-12-20,18436.0,1545.0
2018-12-21,18524.0,1585.0
2018-12-22,18676.0,1509.0
2018-12-23,18503.0,1548.0
2018-12-24,18592.0,1538.0
2018-12-25,18062.0,1385.0
2018-12-26,17942.0,1369.0
2018-12-27,17775.0,1247.0
2018-12-28,18039.0,1385.0
2018-12-29,18412.0,1415.5
2018-12-30,18785.0,1446.0
2018-12-31,18108.0,1506.0
2019-01-01,18119.0,1409.0
2019-01-02,18581.0,1559.0
2019-01-03,18125.0,1517.0
2019-01-04,18548.0,1541.0
2019-01-05,15380.0,1415.0
2019-01-06,18133.0,1577.0
2019-01-07,18672.0,1491.0
2019-01-08,18539.0,1048.0
2019-01-09,18609.0,1620.0
2019-01-10,18033.0,1579.0
2019-01-11,18594.0,1649.0
2019-01-12,16296.0,1385.0
2019-01-13,17912.0,1273.0
2019-01-14,18311.0,1497.0
2019-01-15,18409.0,1210.0
2019-01-16,18228.0,1529.0
2019-01-17,17788.0,1082.0
2019-01-18,17584.0,1077.0
