,all_recs,cons_recs
2018-10-06,18920.0,715.0
2018-10-07,18794.0,857.0
2018-10-08,18607.0,830.0
2018-10-09,18762.0,744.0
2018-10-10,19018.0,835.0
2018-10-11,18865.0,775.0
2018-10-12,22177.0,934.0
2018-10-13,19190.0,683.0
2018-10-14,18706.0,802.0
2018-10-15,19179.0,879.0
2018-10-16,19328.0,883.0
2018-10-17,19129.0,885.5
2018-10-18,18930.0,888.0
2018-10-19,18822.0,852.0
2018-10-20,18816.0,852.0
2018-10-21,18695.0,923.0
2018-10-22,18542.0,996.0
2018-10-23,18630.0,889.0
2018-10-24,19140.0,1025.0
2018-10-25,19161.0,959.0
2018-10-26,18507.0,1016.0
2018-10-27,18715.0,1044.0
2018-10-28,18679.0,939.0
2018-10-29,1607.0,920.0
2018-10-30,18786.0,901.0
2018-10-31,18553.0,972.0
2018-11-01,18513.0,914.0
2018-11-02,19135.0,916.0
2018-11-03,19071.0,1043.0
2018-11-04,18628.0,1022.0
2018-11-05,15557.0,947.0
2018-11-06,18576.0,966.0
2018-11-07,18680.0,968.0
2018-11-08,18718.0,985.0
2018-11-09,19033.0,977.0
2018-11-10,18212.0,1035.0
2018-11-11,18992.0,1094.0
2018-11-12,18871.0,1198.0
2018-11-13,19159.0,1047.0
2018-11-14,18883.0,1053.0
2018-11-15,18481.0,1059.0
2018-11-16,18498.0,1061.0
2018-11-17,18451.0,994.0
2018-11-18,18267.0,1075.0
2018-11-19,18831.0,1042.0
2018-11-20,18577.0,1020.0
2018-11-21,18266.0,1038.0
2018-11-22,18344.0,1087.0
2018-11-23,18668.0,1166.0
2018-11-24,18316.0,1191.0
2018-11-25,18186.0,1126.0
2018-11-26,18694.0,1220.0
2018-11-27,18345.0,1217.0
2018-11-28,18889.0,1227.0
2018-11-29,18411.0,1102.0
2018-11-30,18388.0,1113.0
2018-12-01,18360.0,1195.0
2018-12-02,18356.0,1184.0
2018-12-03,18305.0,1173.0
2018-12-04,18187.0,1176.0
2018-12-05,18902.0,1160.0
2018-12-06,18412.0,1207.0
2018-12-07,18391.0,1232.0
2018-12-08,18436.0,1163.0
2018-12-09,18952.0,1170.0
2018-12-10,18670.0,1167.0
2018-12-11,18328.0,1114.0
2018-12-12,18248.0,1174.0
2018-12-13,18357.0,1205.0
2018-12-14,18497.0,1285.0
2018-12-15,18777.0,1261.0
2018-12-16,18797.0,1255.0
2018-12-17,18423.0,1280.0
2018-12-18,18009.0,1569.0
2018-12-19,18113.0,1549.0
2018-12-20,18443.0,1538.0
2018-12-21,18534.0,1575.0
2018-12-22,18683.0,1502.0
2018-12-23,18505.0,1546.0
2018-12-24,18595.0,1535.0
2018-12-25,18064.0,1383.0
2018-12-26,17945.0,1366.0
2018-12-27,17776.0,1246.0
2018-12-28,18041.0,1383.0
2018-12-29,18414.0,1413.5
2018-12-30,18787.0,1444.0
2018-12-31,18109.0,1505.0
2019-01-01,18120.0,1408.0
2019-01-02,18582.0,1558.0
2019-01-03,18125.0,1517.0
2019-01-04,18548.0,1541.0
2019-01-05,15381.0,1414.0
2019-01-06,18133.0,1577.0
2019-01-07,18672.0,1491.0
2019-01-08,18541.0,1046.0
2019-01-09,18613.0,1616.0
