date,date,count_yt,count_ain,count_cons,count_msm,count_cchan,count_tweets
2019-03-02 09:00:00,2019-03-02 09:00:00,758,0.0,0.0,1.0,1.0,123761
2019-05-12 06:00:00,2019-05-12 06:00:00,624,0.0,0.0,3.0,0.0,126181
2018-11-23 16:00:00,2018-11-23 16:00:00,1322,1.0,0.0,3.0,3.0,144192
2019-03-29 10:00:00,2019-03-29 10:00:00,1189,1.0,0.0,2.0,3.0,145563
2018-11-18 13:00:00,2018-11-18 13:00:00,1330,2.0,2.0,1.0,1.0,170417
2019-03-18 20:00:00,2019-03-18 20:00:00,650,1.0,3.0,2.0,5.0,131674
2018-12-09 07:00:00,2018-12-09 07:00:00,910,3.0,4.0,2.0,3.0,107595
2018-11-07 23:00:00,2018-11-07 23:00:00,1175,2.0,2.0,6.0,2.0,140083
2019-03-08 04:00:00,2019-03-08 04:00:00,623,0.0,0.0,5.0,0.0,125262
2018-10-13 13:00:00,2018-10-13 13:00:00,1458,3.0,3.0,1.0,2.0,173629
2018-10-14 10:00:00,2018-10-14 10:00:00,1157,0.0,2.0,0.0,1.0,130051
2018-11-07 22:00:00,2018-11-07 22:00:00,1227,4.0,1.0,6.0,1.0,145361
2019-05-13 21:00:00,2019-05-13 21:00:00,688,1.0,1.0,4.0,3.0,142307
2019-04-29 14:00:00,2019-04-29 14:00:00,1098,2.0,0.0,1.0,3.0,203957
2018-11-05 07:00:00,2018-11-05 07:00:00,823,2.0,0.0,4.0,0.0,95856
2019-04-23 23:00:00,2019-04-23 23:00:00,715,1.0,0.0,2.0,3.0,147516
2018-10-28 20:00:00,2018-10-28 20:00:00,1193,3.0,4.0,5.0,5.0,128757
2019-04-28 05:00:00,2019-04-28 05:00:00,742,2.0,0.0,0.0,2.0,126016
2018-10-27 18:00:00,2018-10-27 18:00:00,1245,1.0,1.0,3.0,1.0,128832
2018-12-31 06:00:00,2018-12-31 06:00:00,954,0.0,4.0,2.0,3.0,125975
2019-04-17 05:00:00,2019-04-17 05:00:00,716,2.0,3.0,3.0,4.0,116216
2018-11-16 12:00:00,2018-11-16 12:00:00,1410,2.0,5.0,2.0,3.0,162060
2019-01-23 14:00:00,2019-01-23 14:00:00,1664,4.0,0.0,2.0,2.0,203392
